path,pages,font_count,text_len,issues
dist/pdf/4e/enseignants/4e_S3_AIDES_Cartes.pdf,2,3,1195,
dist/pdf/4e/enseignants/4e_S3_PROF_Fiche.pdf,5,2,5358,
dist/pdf/4e/enseignants/4e_S4_AIDES_Cartes.pdf,2,3,1182,
dist/pdf/4e/enseignants/4e_S4_PROF_Fiche.pdf,5,3,5934,
dist/pdf/4e/enseignants/4e_S5_AIDES_Cartes.pdf,2,3,1230,
dist/pdf/4e/enseignants/4e_S5_PROF_Fiche.pdf,4,2,4154,
dist/pdf/4e/enseignants/4e_Tableau_Bord_Enseignant.pdf,7,2,2859,
dist/pdf/4e/enseignants/index.pdf,2,2,824,
dist/pdf/4e/evaluations/4e_Evaluation_Finale_ELEVE.pdf,2,3,3022,
dist/pdf/4e/evaluations/4e_Mini_Diagnostic_ELEVE.pdf,2,2,1790,
dist/pdf/4e/nominatifs-prives/4e_Dossier_Individuel_Fares_Darghouth.pdf,6,3,5222,
dist/pdf/4e/nominatifs-prives/4e_Dossier_Individuel_Sinda_Chikhaoui.pdf,6,3,5151,
dist/pdf/4e/nominatifs-prives/4e_Remediation_Ciblee_Fares_Darghouth_ELEVE.pdf,2,2,2531,
dist/pdf/4e/nominatifs-prives/4e_Remediation_Ciblee_Fares_Darghouth_PROF_Corrige.pdf,3,3,2932,
dist/pdf/4e/nominatifs-prives/4e_Remediation_Ciblee_Sinda_Chikhaoui_ELEVE.pdf,2,2,2585,
dist/pdf/4e/nominatifs-prives/4e_Remediation_Ciblee_Sinda_Chikhaoui_PROF_Corrige.pdf,3,3,3050,
dist/pdf/4e/supports/4e_S1_SUPPORTS_Manipulation.pdf,2,4,1583,
dist/pdf/4e/supports/4e_S2_SUPPORTS_Manipulation.pdf,3,2,1286,
dist/pdf/4e/supports/4e_S3_SUPPORTS_Manipulation.pdf,3,2,1205,
dist/pdf/4e/supports/4e_S4_SUPPORTS_Manipulation.pdf,5,4,1389,
dist/pdf/4e/supports/4e_S5_SUPPORTS_Manipulation.pdf,3,2,1080,
dist/packs/eleves/1ere_spe_PACK_ELEVE_COMPLET.pdf,44,46,37635,
dist/packs/eleves/1ere_spe_PACK_EVALUATIONS_ELEVE.pdf,5,8,5194,
dist/packs/eleves/1ere_spe_S1_PACK_ELEVE.pdf,8,5,5675,
